location,ref_date,num_theatres,num_seats,total_operating_revenue,total_operating_expenses,average_ticket_prices,
Ontario,1996/1997,189,182121,233615,208588,5.13,
Ontario,1997/1998,192,196078,258046,227034,5.38,
Ontario,1998/1999,184,212140,311490,287096,5.70,
Ontario,1999/2000,200,263030,359732,355712,6.14,
Ontario,2000/2001,211,282015,397633,425364,6.78,
Ontario,2001/2002,,,,,,
Ontario,2002/2003,163,239746,485707,461257,8.06,
Ontario,2003/2004,159,235949,477701,457037,8.21,
Ontario,2004/2005,163,219510,472592,427654,8.17,
Quebec,1996/1997,107,102554,126607,119391,5.08,
Quebec,1997/1998,119,117177,149722,138322,5.42,
Quebec,1998/1999,116,125371,179839,169438,5.47,
Quebec,1999/2000,129,143020,201677,193053,5.66,
Quebec,2000/2001,130,162142,208768,220125,6.16,
Quebec,2001/2002,,,,,,
Quebec,2002/2003,118,154582,255299,268432,6.81,
Quebec,2003/2004,115,153848,251890,269607,6.83,
Quebec,2004/2005,120,156209,257931,264747,6.83,
British Columbia,1996/1997,89,71934,104321,91704,5.09,
British Columbia,1997/1998,94,78316,114456,98396,5.44,
British Columbia,1998/1999,105,95312,132862,120099,5.94,
British Columbia,1999/2000,106,101158,142917,143396,6.21,
British Columbia,2000/2001,113,114042,159603,162570,6.59,
British Columbia,2001/2002,,,,,,
British Columbia,2002/2003,97,,177963,,,
British Columbia,2003/2004,98,,177401,,,
British Columbia,2004/2005,98,,182537,,,
Alberta,1996/1997,79,,76287,,,
Alberta,1997/1998,81,,93320,,,
Alberta,1998/1999,86,,107628,,,
Alberta,1999/2000,88,,118213,,,
Alberta,2000/2001,87,,127416,,,
Alberta,2001/2002,,,,,,
Alberta,2002/2003,77,,162397,,,
Alberta,2003/2004,77,,159805,,,
Alberta,2004/2005,75,,170883,,,
Saskatchewan,1996/1997,37,17163,12914,11267,4.86,
Saskatchewan,1997/1998,39,20691,16683,14032,4.82,
Saskatchewan,1998/1999,38,22737,20987,18005,4.04,
Saskatchewan,1999/2000,40,22949,23458,20250,4.00,
Saskatchewan,2000/2001,46,23792,22159,19497,4.12,
Saskatchewan,2001/2002,,,,,,
Saskatchewan,2002/2003,44,21999,27183,22588,5.03,
Saskatchewan,2003/2004,40,22842,27163,23403,5.42,
Saskatchewan,2004/2005,37,21029,30491,24729,5.83,
Manitoba,1996/1997,28,17132,18699,17003,4.28,
Manitoba,1997/1998,29,16975,20598,18002,4.31,
Manitoba,1998/1999,31,22059,24153,22209,4.30,
Manitoba,1999/2000,29,25008,30692,28841,4.96,
Manitoba,2000/2001,35,26217,31321,34918,5.33,
Manitoba,2001/2002,,,,,,
Manitoba,2002/2003,34,23142,38948,36496,5.53,
Manitoba,2003/2004,32,24008,38781,36133,5.77,
Manitoba,2004/2005,36,24198,39366,35793,5.80,
New Brunswick,1996/1997,14,10750,8733,7637,5.32,
New Brunswick,1997/1998,15,13080,11482,10656,5.23,
New Brunswick,1998/1999,13,11167,13986,12332,5.23,
New Brunswick,1999/2000,13,11766,14625,12444,5.74,
New Brunswick,2000/2001,14,12083,17959,15322,6.16,
New Brunswick,2001/2002,,,,,,
New Brunswick,2002/2003,12,11252,18481,14986,6.87,
New Brunswick,2003/2004,12,11404,18543,15407,7.20,
New Brunswick,2004/2005,12,12070,16876,13616,7.34,
Newfoundland and Labrador,1996/1997,17,8203,5745,4995,5.05,
Newfoundland and Labrador,1997/1998,15,7941,6537,5446,5.41,
Newfoundland and Labrador,1998/1999,12,6894,7027,5788,5.85,
Newfoundland and Labrador,1999/2000,11,6568,6388,5225,6.01,
Newfoundland and Labrador,2000/2001,14,7468,5763,5152,5.99,
Newfoundland and Labrador,2001/2002,,,,,,
Newfoundland and Labrador,2002/2003,13,8245,12331,10322,6.76,
Newfoundland and Labrador,2003/2004,13,8095,12545,10200,7.01,
Newfoundland and Labrador,2004/2005,14,8530,13263,10740,7.24,
Nova Scotia,1996/1997,19,,16807,,,
Nova Scotia,1997/1998,20,,18694,,,
Nova Scotia,1998/1999,20,,20887,,,
Nova Scotia,1999/2000,21,,25169,,,
Nova Scotia,2000/2001,20,,27666,,,
Nova Scotia,2001/2002,,,,,,
Nova Scotia,2002/2003,19,,33148,,,
Nova Scotia,2003/2004,19,,35006,,,
Nova Scotia,2004/2005,19,,34819,,,
Prince Edward Island,1996/1997,4,2558,3008,2429,5.21,
Prince Edward Island,1997/1998,4,2525,3260,2520,5.47,
Prince Edward Island,1998/1999,4,,3628,,,
Prince Edward Island,1999/2000,3,,2960,,,
Prince Edward Island,2000/2001,3,,3377,,,
Prince Edward Island,2001/2002,,,,,,
Prince Edward Island,2002/2003,4,,5093,,,
Prince Edward Island,2003/2004,3,,5464,,,
Prince Edward Island,2004/2005,3,,5589,,,
Yukon, Northwest Territories and Nunavut,,5,1522,2292,2255,4.81,
Yukon, Northwest Territories and Nunavut,,5,1522,2438,2326,5.09,
Yukon, Northwest Territories and Nunavut,,5,1519,2365,2217,5.32,
Yukon, Northwest Territories and Nunavut,,4,1425,2477,2271,5.49,
Yukon, Northwest Territories and Nunavut,,4,1433,2684,2431,5.89,
Yukon, Northwest Territories and Nunavut,,,,,,,
Yukon, Northwest Territories and Nunavut,,6,1766,3902,3295,6.33,
Yukon, Northwest Territories and Nunavut,,6,1868,3738,3400,6.79,
Yukon, Northwest Territories and Nunavut,,6,1907,3714,3153,7.17,
